county,month,wind_speed
Switzerland,10,8.5
Switzerland,11,8
Switzerland,12,12.5
Tippecanoe,1,8.5
Tippecanoe,2,8.1
Tippecanoe,3,10.2
Tippecanoe,4,12
Tippecanoe,5,10.2
Tippecanoe,6,7.8
Tippecanoe,7,7.2
Tippecanoe,8,5.5
Tippecanoe,9,7.3
Tippecanoe,10,5.2
Tippecanoe,11,10.5
Tippecanoe,12,8.9
Tipton,1,12.6
Tipton,2,10.6
Tipton,3,13.2
Tipton,4,9.4
Tipton,5,10.9
Tipton,6,9.3
Tipton,7,9.7
Tipton,8,7.7
Tipton,9,6.1
Tipton,10,8.6
Tipton,11,8.3
Tipton,12,11.1
Union,1,10.7
Union,2,12.2
Union,3,12.4
Union,4,10.9
Union,5,7.4
Union,6,4.9
Union,7,6.1
Union,8,5.8
Union,9,7.9
Union,10,6.2
Union,11,10.1
Union,12,10.1
Vanderburgh,1,9.9
Vanderburgh,2,10.4
Vanderburgh,3,11
Vanderburgh,4,10.8
Vanderburgh,5,9.5
Vanderburgh,6,10
Vanderburgh,7,5.5
Vanderburgh,8,6.4
Vanderburgh,9,8.8
Vanderburgh,10,11.7
Vanderburgh,11,8.1
Vanderburgh,12,11.1
Vermillion,1,10.5
Vermillion,2,9.3
Vermillion,3,9.7
Vermillion,4,9.1
Vermillion,5,8.2
Vermillion,6,10.6
Vermillion,7,8.8
Vermillion,8,6.6
Vermillion,9,5.3
Vermillion,10,9.1
Vermillion,11,8.6
Vermillion,12,10.6
Vigo,1,10.6
Vigo,2,8.9
Vigo,3,11
Vigo,4,7.7
Vigo,5,8.2
Vigo,6,6.5
Vigo,7,7.4
Vigo,8,7.7
Vigo,9,8.2
Vigo,10,8.1
Vigo,11,8.9
Vigo,12,10.8
Wabash,1,11.8
Wabash,2,10.4
Wabash,3,9
Wabash,4,12.3
Wabash,5,11
Wabash,6,8.7
Wabash,7,5.4
Wabash,8,6.5
Wabash,9,5.5
Wabash,10,9.1
Wabash,11,9.1
Wabash,12,11.4
Warren,1,10.4
Warren,2,11.1
