county,month,wind_speed,,,,,
Madison,2018-04,9.1,,,,,
Madison,2018-05,11.9,,,,,
Madison,2018-06,9.5,,,,,
Madison,2018-07,6.0,,,,,
Madison,2018-08,6.8,,,,,
Madison,2018-09,8.1,,,,,
Madison,2018-10,8.3,,,,,
Madison,2018-11,10.7,,,,,
Madison,2018-12,10.1,,,,,
Marion,2018-01,9.9,,,,,
Marion,2018-02,10.8,,,,,
Marion,2018-03,13.2,,,,,
Marion,2018-04,9.4,,,,,
Marion,2018-05,10.0,,,,,
Marion,2018-06,5.6,,,,,
Marion,2018-07,7.4,,,,,
Marion,2018-08,8.1,,,,,
Marion,2018-09,4.8,,,,,
Marion,2018-10,4.8,,,,,
Marion,2018-11,9.4,,,,,
Marion,2018-12,10.8,,,,,
Marshall,2018-01,10.0,,,,,
Marshall,2018-02,11.0,,,,,
Marshall,2018-03,10.5,,,,,
Marshall,2018-04,11.4,,,,,
Marshall,2018-05,9.0,,,,,
Marshall,2018-06,6.6,,,,,
Marshall,2018-07,6.8,,,,,
Marshall,2018-08,6.1,,,,,
Marshall,2018-09,5.6,,,,,
Marshall,2018-10,7.3,,,,,
Marshall,2018-11,10.8,,,,,
Marshall,2018-12,9.3,,,,,
Martin,2018-01,12.9,,,,,
Martin,2018-02,9.5,,,,,
Martin,2018-03,10.1,,,,,
Martin,2018-04,11.4,,,,,
Martin,2018-05,6.9,,,,,
Martin,2018-06,7.6,,,,,
Martin,2018-07,5.7,,,,,
Martin,2018-08,7.7,,,,,
Martin,2018-09,7.2,,,,,
Martin,2018-10,11.5,,,,,
Martin,2018-11,9.3,,,,,
Martin,2018-12,6.6,,,,,
Miami,2018-01,9.4,,,,,
Miami,2018-02,12.2,,,,,
Miami,2018-03,10.1,,,,,
Miami,2018-04,7.9,,,,,
Miami,2018-05,9.3,,,,,
Miami,2018-06,8.2,,,,,
Miami,2018-07,5.8,,,,,
Miami,2018-08,6.7,,,,,
Miami,2018-09,8.6,,,,,
Miami,2018-10,7.8,,,,,
Miami,2018-11,9.2,,,,,
Miami,2018-12,8.7,,,,,
Monroe,2018-01,10.7,,,,,
Monroe,2018-02,8.7,,,,,
Monroe,2018-03,9.8,,,,,
Monroe,2018-04,6.0,,,,,
Monroe,2018-05,7.8,,,,,
Monroe,2018-06,7.3,,,,,
Monroe,2018-07,6.8,,,,,
Monroe,2018-08,5.0,,,,,
Monroe,2018-09,6.3,,,,,
Monroe,2018-10,6.1,,,,,
Monroe,2018-11,8.9,,,,,
Monroe,2018-12,11.5,,,,,
Montgomery,2018-01,11.6,,,,,
Montgomery,2018-02,10.5,,,,,
Montgomery,2018-03,12.0,,,,,
Montgomery,2018-04,7.8,,,,,
Montgomery,2018-05,8.5,,,,,
Montgomery,2018-06,8.2,,,,,
Montgomery,2018-07,9.1,,,,,
Montgomery,2018-08,5.7,,,,,
Montgomery,2018-09,9.7,,,,,
Montgomery,2018-10,8.3,,,,,
Montgomery,2018-11,6.4,,,,,
Montgomery,2018-12,10.6,,,,,
Morgan,2018-01,10.3,,,,,
Morgan,2018-02,11.8,,,,,
Morgan,2018-03,12.4,,,,,
Morgan,2018-04,10.9,,,,,
Morgan,2018-05,9.8,,,,,
Morgan,2018-06,9.6,,,,,
Morgan,2018-07,8.9,,,,,
Morgan,2018-08,5.4,,,,,
Morgan,2018-09,9.5,,,,,
Morgan,2018-10,7.0,,,,,
Morgan,2018-11,7.9,,,,,
Morgan,2018-12,9.1,,,,,
Newton,2018-01,10.4,,,,,
Newton,2018-02,8.1,,,,,
Newton,2018-03,11.9,,,,,
Newton,2018-04,9.6,,,,,
Newton,2018-05,6.4,,,,,
Newton,2018-06,8.6,,,,,
Newton,2018-07,6.8,,,,,
Newton,2018-08,5.7,,,,,
Newton,2018-09,7.3,,,,,
Newton,2018-10,7.5,,,,,
Newton,2018-11,8.2,,,,,
Newton,2018-12,13.5,,,,,
Noble,2018-01,10.0,,,,,
Noble,2018-02,11.6,,,,,
Noble,2018-03,10.0,,,,,
Noble,2018-04,10.5,,,,,
Noble,2018-05,5.9,,,,,
Noble,2018-06,10.5,,,,,
Noble,2018-07,6.1,,,,,
Noble,2018-08,5.1,,,,,
Noble,2018-09,8.5,,,,,
Noble,2018-10,9.0,,,,,
Noble,2018-11,8.4,,,,,
Noble,2018-12,8.8,,,,,
Ohio,2018-01,11.8,,,,,
Ohio,2018-02,8.6,,,,,
Ohio,2018-03,13.2,,,,,
Ohio,2018-04,9.4,,,,,
Ohio,2018-05,9.4,,,,,
Ohio,2018-06,8.7,,,,,
Ohio,2018-07,6.7,,,,,
Ohio,2018-08,7.7,,,,,
Ohio,2018-09,5.2,,,,,
Ohio,2018-10,7.2,,,,,
Ohio,2018-11,9.1,,,,,
Ohio,2018-12,10.6,,,,,
Orange,2018-01,11.8,,,,,
Orange,2018-02,8.8,,,,,
Orange,2018-03,9.9,,,,,
Orange,2018-04,9.1,,,,,
Orange,2018-05,7.2,,,,,
Orange,2018-06,8.3,,,,,
Orange,2018-07,7.8,,,,,
Orange,2018-08,7.0,,,,,
Orange,2018-09,4.9,,,,,
Orange,2018-10,7.8,,,,,
Orange,2018-11,7.3,,,,,
Orange,2018-12,9.3,,,,,
Owen,2018-01,11.4,,,,,
Owen,2018-02,12.9,,,,,
Owen,2018-03,8.7,,,,,
Owen,2018-04,5.8,,,,,
Owen,2018-05,10.8,,,,,
Owen,2018-06,9.2,,,,,
Owen,2018-07,4.9,,,,,
Owen,2018-08,3.0,,,,,
Owen,2018-09,6.9,,,,,
Owen,2018-10,8.0,,,,,
Owen,2018-11,10.3,,,,,
Owen,2018-12,8.9,,,,,
Parke,2018-01,9.9,,,,,
Parke,2018-02,11.5,,,,,
Parke,2018-03,10.9,,,,,
Parke,2018-04,6.5,,,,,
Parke,2018-05,8.5,,,,,
Parke,2018-06,8.4,,,,,
Parke,2018-07,6.6,,,,,
Parke,2018-08,4.1,,,,,
Parke,2018-09,2.7,,,,,
Parke,2018-10,9.5,,,,,
Parke,2018-11,10.4,,,,,
Parke,2018-12,9.3,,,,,
Perry,2018-01,10.7,,,,,
Perry,2018-02,13.5,,,,,
Perry,2018-03,7.8,,,,,
Perry,2018-04,9.5,,,,,
Perry,2018-05,11.0,,,,,
Perry,2018-06,6.7,,,,,
Perry,2018-07,7.9,,,,,
Perry,2018-08,3.2,,,,,
